Time,Velocity,Omega
1571250131.551582,0.300000,-1.660624
1571250131.605713,0.300000,-1.306314
1571250131.671761,0.300000,-1.220062
1571250131.712457,0.300000,-1.449170
1571250131.773747,0.300000,-2.187812
1571250131.820265,0.300000,-1.381910
1571250131.870103,0.300000,0.583207
1571250131.915622,0.300000,1.945894
1571250131.967683,0.300000,1.698741
1571250132.015582,0.300000,-1.645825
1571250132.060940,0.300000,1.800956
1571250132.120927,0.300000,2.284386
1571250132.169903,0.300000,2.050929
1571250132.229276,0.300000,1.792071
1571250132.273977,0.300000,1.708726
1571250132.339002,0.300000,1.801405
1571250132.373893,0.300000,-0.685241
1571250132.429403,0.300000,0.846135
1571250132.501753,0.300000,0.124975
1571250132.538969,0.300000,-2.558375
1571250132.571851,0.300000,-3.593262
1571250132.637112,0.300000,-3.143734
1571250132.674166,0.300000,-2.833816
1571250132.732914,0.300000,-2.838410
1571250132.772003,0.300000,-3.331499
1571250132.821805,0.300000,-3.279506
1571250132.864716,0.300000,-3.437265
1571250132.920479,0.300000,-3.390991
1571250132.978070,0.300000,-2.986435
1571250133.014320,0.300000,-1.256597
1571250133.060010,0.300000,-2.741299
1571250133.105909,0.300000,-2.223218
1571250133.151152,0.300000,1.402781
1571250133.197118,0.300000,0.576876
1571250133.250794,0.300000,2.029138
1571250133.293816,0.300000,2.575905
1571250133.349643,0.300000,1.825023
1571250133.386855,0.300000,2.145245
1571250133.465509,0.300000,1.870871
1571250133.505655,0.300000,3.326116
1571250133.537714,0.300000,3.029889
1571250133.589949,0.300000,2.215453
1571250133.631928,0.300000,1.743402
1571250133.686261,0.300000,3.970965
1571250133.729296,0.300000,3.879811
1571250133.774831,0.300000,3.827442
1571250133.825150,0.300000,4.294670
1571250133.868855,0.300000,3.890360
1571250133.925736,0.300000,3.633657
1571250133.968247,0.300000,3.294262
1571250134.013097,0.300000,3.324257
1571250134.067545,0.300000,2.216805
1571250134.106413,0.300000,3.381762
1571250134.160109,0.300000,1.980523
1571250134.206464,0.300000,-0.138194
1571250134.257713,0.300000,1.601532
1571250134.302056,0.300000,-0.188252
1571250134.361652,0.300000,-0.156416
1571250134.420007,0.300000,-1.151506
1571250134.489534,0.300000,-1.662491
1571250134.516601,0.300000,-1.381107
1571250134.562766,0.300000,-2.117787
1571250134.628745,0.300000,-2.334949
1571250134.689167,0.300000,-2.131353
1571250134.741760,0.300000,0.293627
1571250134.773376,0.300000,0.285065
1571250134.830708,0.300000,-1.764731
1571250134.874983,0.300000,-3.233297
1571250134.927237,0.300000,-2.873109
1571250134.964729,0.300000,0.819060
1571250135.017488,0.300000,-2.290556
1571250135.072992,0.300000,-2.095133
1571250135.133669,0.300000,-2.372766
1571250135.196968,0.300000,-1.864352
1571250135.244867,0.300000,-1.836378
1571250135.301455,0.300000,-2.320552
1571250135.360766,0.300000,-2.430587
1571250135.418251,0.300000,-1.883928
1571250135.489936,0.300000,-2.206882
1571250135.537219,0.300000,-1.028820
1571250135.592970,0.300000,-2.262132
1571250135.642811,0.300000,-1.099353
1571250135.701357,0.300000,-1.485901
1571250135.735676,0.300000,-0.334257
1571250135.782308,0.300000,-0.869272
1571250135.832894,0.300000,2.144210
1571250135.877951,0.300000,2.295801
1571250135.931296,0.300000,2.621112
1571250135.972041,0.300000,2.366247
1571250136.020385,0.300000,-1.160619
1571250136.063401,0.300000,2.465396
1571250136.108626,0.300000,-1.494562
1571250136.167342,0.300000,-1.156121
1571250136.221368,0.300000,-0.827509
1571250136.277201,0.300000,-1.568489
1571250136.332484,0.300000,-2.059336
1571250136.377119,0.300000,-2.855052
1571250136.433935,0.300000,-3.139906
1571250136.492232,0.300000,-3.036270
1571250136.522117,0.300000,-3.268773
1571250136.573984,0.300000,-3.219879
1571250136.650909,0.300000,-3.096904
1571250136.689996,0.300000,-2.927940
1571250136.728833,0.300000,-2.906128
1571250136.785513,0.300000,-2.677618
1571250136.832474,0.300000,-3.156633
1571250136.870019,0.300000,-2.602894
1571250136.923814,0.300000,-3.110401
1571250136.971905,0.300000,1.444721
1571250137.017160,0.300000,4.816153
1571250137.062971,0.300000,2.009895
1571250137.131086,0.300000,-2.237537
1571250137.167654,0.300000,2.020686
1571250137.208378,0.300000,2.220274
1571250137.243725,0.300000,2.568679
1571250137.309517,0.300000,-2.412111
1571250137.340623,0.300000,-2.644714
1571250137.385109,0.300000,-2.485588
1571250137.428671,0.300000,-2.839853
1571250137.488418,0.300000,-2.991431
1571250137.525138,0.300000,-3.636633
1571250137.564796,0.000000,-1.000000
1571250137.567614,0.300000,-3.636633
